P,T,gt_mol_frac,gt_wt_frac,gt_vol_frac,Mg,Mn,Fe,Ca
1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461538461538463,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6923076923076923,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0384615384615383,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3846153846153846,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730769230769231,300.0,0.0007789879138200257,0.0009335954175171651,0.000652650329048176,0.0004012440481776864,0.12918203679717308,0.06722325573291091,0.8031934634217383
3.0769230769230766,300.0,0.0018502041758809158,0.0022161590665951713,0.0015548022007608605,0.00040387727304921764,0.12114064684664613,0.0680831362326646,0.8103723396476401
3.423076923076923,300.0,0.003036495566999079,0.0036351955421848334,0.0025587674139614007,0.000405473292829453,0.11319339439837545,0.06927462845746592,0.8171265038513291
3.769230769230769,300.0,0.004349806652971597,0.005204736488386988,0.0036749402043481554,0.000409341364733441,0.1055133193900575,0.0703550944030185,0.8237222448421907
4.115384615384615,300.0,0.005819027656546104,0.0069592776948937006,0.004928086487819017,0.00041254262335534803,0.09788512344358709,0.07174146223299242,0.829960871700065
4.461538461538462,300.0,0.007469214639236683,0.008928774253697366,0.006340062441287536,0.00041732459676446895,0.09045020393099527,0.07310887137519526,0.836023600097045
4.8076923076923075,300.0,0.009331118581892596,0.011149340053873967,0.007937628179475874,0.0004229491714369045,0.08314955472302993,0.07454775316936413,0.8418797429361691
5.153846153846153,300.0,0.011434374646296925,0.013656249053180249,0.009746813847999292,0.00042912260956164155,0.07594896083377718,0.0760929778822423,0.847528938674419
5.5,300.0,0.01393530443083134,0.01663625780738425,0.011902205850038925,0.00043794058562991213,0.0690203971300621,0.07746812657911692,0.8530735357051911
5.846153846153846,300.0,0.017016948029181907,0.020306902696064808,0.014561787818463073,0.0004441405871876652,0.061896888836389226,0.07936026774687724,0.8582987028295459
6.1923076923076925,300.0,0.01914621652732959,0.022844436812674715,0.016410737240927138,0.0004527730520741869,0.05795513491019607,0.08115422228015945,0.8604378697575703
6.538461538461538,300.0,0.01800399296101488,0.02148950635790566,0.015449277683177153,0.00046247884537652133,0.06091327674616169,0.08309392922384486,0.8555303151846168
6.884615384615384,300.0,0.01675315012342276,0.020005718244748387,0.014391104886849698,0.0004736853393385595,0.06469365252420295,0.08503928438141208,0.8497933777550464
7.230769230769231,300.0,0.015766017926674373,0.018834625073392817,0.013556927565553946,0.0004842023664723298,0.06781860088341705,0.08725639299606126,0.8444408037540492
7.576923076923077,300.0,0.014805749664127232,0.017695973819415914,0.01274334470020791,0.0004963170206495614,0.07153228342056243,0.08947122368510683,0.8385001758736812
7.923076923076923,300.0,0.013847334737025024,0.016559119098837168,0.011928920112715189,0.0005094183641168992,0.07584702627374114,0.09177654542078914,0.831867009941353
8.26923076923077,300.0,0.013130450525371564,0.015708900955190883,0.011321369230509198,0.0005214964524867508,0.07890025148244412,0.0943999910307475,0.8261782610343217
8.615384615384615,300.0,0.012505129230460594,0.014968448915931687,0.010791110959420314,0.0005362276391138749,0.08274294010915692,0.09690504748149097,0.8198157847702382
8.961538461538462,300.0,0.011818795478163573,0.014154880547580231,0.010206577945853357,0.0005492546850626941,0.08684655548833659,0.09986809267331907,0.8127360971532815
9.307692307692307,300.0,0.025896948244103296,0.030934603417082825,0.022477887856651935,0.0005579181995472235,0.05059060477779416,0.10256415731156682,0.846287319711092
9.653846153846153,300.0,0.054521788346414204,0.06502036142852549,0.04759170726474718,0.0005690223403959846,0.027334289866842228,0.1046554637905472,0.8674412240022146
10.0,300.0,0.05465762314517982,0.06519307373059485,0.047801980498195,0.0005757749376888245,0.027192752218049038,0.10681378033563263,0.8654176925086294
1.0,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461538461538463,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6923076923076923,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0384615384615383,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3846153846153846,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730769230769231,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0769230769230766,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.423076923076923,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.769230769230769,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.115384615384615,324.13793103448273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.461538461538462,324.13793103448273,2.9320445186333606e-05,3.533218938174773e-05,2.4682348529501546e-05,0.0007129209444492846,0.16667318853928723,0.0967292771632196,0.7358846133530439
4.8076923076923075,324.13793103448273,0.0005952149345653445,0.0007169554994044255,0.00050219271992672,0.000719480488564437,0.15970078627070342,0.09846996281728164,0.7411097704234504
5.153846153846153,324.13793103448273,0.0012848308787109797,0.0015469589919117272,0.0010863382209106614,0.0007253202910080345,0.1526611810555055,0.10054446168985504,0.7460690369636315
5.5,324.13793103448273,0.0020147508796160493,0.0024248369767845774,0.0017069652128398056,0.0007367768391510353,0.14605275752290942,0.10226897626125582,0.7509414893766838
5.846153846153846,324.13793103448273,0.002794084093272401,0.0033615828563703866,0.002371832629701106,0.0007470615593711527,0.139305460609533,0.10433631105503194,0.7556111667760639
6.1923076923076925,324.13793103448273,0.003619328392730537,0.004352961878433885,0.0030780065552237566,0.0007653811547868358,0.13288380295063063,0.10652765008210728,0.7598231658124752
6.538461538461538,324.13793103448273,0.0045236700586266535,0.005438642667313586,0.003853993051076065,0.0007702453480110552,0.1258695946357436,0.10886430930936875,0.7644958507068764
6.884615384615384,324.13793103448273,0.005492522684718088,0.006601180615216407,0.004687410252353146,0.0007830757563565841,0.11915862850430668,0.11133170592431765,0.768726589815019
7.230769230769231,324.13793103448273,0.00654187051385817,0.007859833767580995,0.005592161985953939,0.0007976428827846017,0.11253090340838481,0.1138381394864136,0.772833314222417
7.576923076923077,324.13793103448273,0.0076937184096091075,0.009240721206296786,0.006587237694974036,0.0008134374175592934,0.10592977531545207,0.11644435326443299,0.7768124340025557
